Team,Expenditure,Goals For,Goals Against,Wins,Draws,Losses,Points,Million Euro per Point
Bayern Munich,334.00m,186,83,44,11,13,143,2.335664335664336
RB Leipzig,239.00m,141,80,39,14,15,131,1.8244274809160306
Borussia Dortmund,173.15m,151,87,40,14,14,134,1.2921641791044776
Eintracht Frankfurt,115.90m,109,102,24,25,19,97,1.1948453608247422
VfL Wolfsburg,110.95m,98,104,23,17,28,86,1.2901162790697676
Bayer 04 Leverkusen,98.10m,146,73,42,14,12,140,0.7007142857142856
TSG 1899 Hoffenheim,64.10m,114,123,23,13,32,82,0.7817073170731706
1.FC Union Berlin,63.40m,84,96,27,14,27,95,0.6673684210526316
Borussia Mönchengladbach,53.48m,108,122,18,23,27,77,0.6945454545454545
VfB Stuttgart,37.44m,123,96,30,16,22,106,0.3532075471698113
